品牌 (Brand),产品编号,条形码,产品名称,规格,折扣前,折扣率,折扣后
Cervantes,CE002-1,8.43572E+12,CUADERNO ANILLAS CON HOJA EXTRAIBLE A5,A5 80张 100g 塑料硬皮蘑菇扣,"3,517_","-19,25%","2,840_"
Cervantes,PB011,8.43525E+12,CUADERNO ESP TAPA BLANDA F_ 4X4 80H 60G,F_ 80张 60g 软皮 4mm方格,935_,"-19,25%",755_
Cervantes,PB012,8.43525E+12,CUADERNO ESP TAPA BLANDA F_ P2.5 80H 60G,F_ 80张 60g 软皮 2.5mm,935_,"-19,25%",755_
Cervantes,PB013,8.43525E+12,CUADERNO ESP TAPA BLANDA F_ HOR 80H 60G,F_ 80张 60g 软皮 横条,935_,"-19,25%",755_
Cervantes,PB014,8.43525E+12,CUADERNO ESP TAPA BLANDA F_ LISO 80H 60G,F_ 80张 60g 软皮 空白,935_,"-19,25%",755_
Cervantes,PB021,8.43525E+12,CUADERNO ESP TAPA BLANDA 4_ 4X4 80H 60G,4_ 80张 60g 软皮 4mm方格,605_,"-19,25%",489_
Cervantes,PB022,8.43525E+12,CUADERNO ESP TAPA BLANDA 4_ P2.5 80H 60G,4_ 80张 60g 软皮 2.5mm,605_,"-19,25%",489_
Cervantes,PB023,8.43525E+12,CUADERNO ESP TAPA BLANDA 4_ HOR 80H 60G,4_ 80张 60g 软皮 横条,605_,"-19,25%",489_
Cervantes,PB024,8.43525E+12,CUADERNO ESP TAPA BLANDA 4_ LISO 80H 60G,4_ 80张 60g 软皮 空白,605_,"-19,25%",489_
Cervantes,PB417,8.43546E+12,CUADERNO A4 120 HOJAS Y 4 TAPAS.,A4 120张 90g 塑料皮 4封面,"4,223_","-19,25%","3,410_"
Cervantes,PB418,8.43546E+12,CUADERNO A4 120 HOJAS Y 4 TAPAS.,A4 120张 90g 塑料皮 4封面,"4,223_","-19,25%","3,410_"
Cervantes,PB419,8.43546E+12,CUADERNO A4 120 HOJAS Y 3 SEPARADORES.,A4 120张 90g 塑料皮 3分隔,"3,706_","-19,25%","2,993_"
Cervantes,PB250,8.43572E+12,CUADERNO GRAPADO PP A4 4X4 48H 90G,A4 48张 90g 塑料皮骑马钉 4mm方格,938_,"-19,25%",757_
Cervantes,PB092,8.43525E+12,CUADERNO GRAPADO A5+ P2.5 48H 60G,A5+ 48张 60g 软皮骑马钉 2.5mm,539_,"-19,25%",435_
Cervantes,PB093,8.43525E+12,CUADERNO GRAPADO A5+ HORI 48H 60G,A5+ 48张 60g 软皮骑马钉 横条,539_,"-19,25%",435_
Cervantes,PB094,8.43525E+12,CUADERNO GRAPADO A5+ LISO 48H 60G,A5+ 48张 60g 软皮骑马钉 空白,539_,"-19,25%",435_
Cervantes,PB095,8.43572E+12,CUADERNO GRAPADO A5+ P3.5 48H 60G,A5+ 48张 60g 软皮骑马钉 3.5mm,539_,"-19,25%",435_
Cervantes,PB101,8.43525E+12,CUADERNO GRAPADO A4 4X4 48H 60G,A4 48张 60g 软皮骑马钉 4mm方格,759_,"-19,25%",613_
Cervantes,PB102,8.43525E+12,CUADERNO GRAPADO A4 LISO 48H 60G,A4 48张 60g 软皮骑马钉 空白,759_,"-19,25%",613_
Cervantes,PB103,8.43525E+12,CUADERNO GRAPADO A4 P2.5 48H 60G,A4 48张 60g 软皮骑马钉 2.5mm,759_,"-19,25%",613_
Cervantes,PB104,8.43525E+12,CUADERNO GRAPADO A4 HORI 48H 60G,A4 48张 60g 软皮骑马钉 横条,759_,"-19,25%",613_
